ts_code,ts_code,evaluation,sus_grow_rate,y1_grow_rate,y2_grow_rate,y3_grow_rate,y4_grow_rate,y5_grow_rate,y0_grow_rate,y-1_grow_rate,y-2_grow_rate,lastupdate,total_mv,close,市场低估比率,index,symbol,name,area,industry,market,list_date,grade
002468.SZ,002468.SZ,3.6010469937827244e+29,0.06,13622.153374993015,13622.153374993015,13622.153374993015,13622.153374993015,13622.153374993015,-0.9500230565834789,0.17846370763719802,40867.231684328,20190401,38208822063.0,24.96,9.42464802459808e+18,929,002468,申通快递,浙江,仓储物流,中小板,20100908,5.0
601218.SH,601218.SH,1.8978069094244356e+26,0.06,1174.324776033546,1174.324776033546,1174.324776033546,1174.324776033546,1174.324776033546,3524.051380211149,-0.9827508553712722,-0.09430125514076117,20190401,3104208800.0,3.13,6.113657397738308e+16,3016,601218,吉鑫科技,江苏,机械基件,主板,20110506,5.0
000005.SZ,000005.SZ,8.960024320259251e+25,0.06,714.4278570683922,714.4278570683922,714.4278570683922,714.4278570683922,714.4278570683922,2147.252173418317,-0.80390289491708,-3.1646993182235845,20190401,4212976631.0,3.98,2.12676810365608e+16,3,000005,世纪星源,深圳,环境保护,主板,19901210,5.0
600476.SH,600476.SH,2.8693885644723872e+23,0.06,392.00904294118965,392.00904294118965,392.00904294118965,392.00904294118965,392.00904294118965,1177.160456156616,-0.07538129983734365,-1.0579460332097914,20190401,2694701100.0,16.73,106482628610362.77,2525,600476,湘邮科技,湖南,软件服务,主板,20031210,5.0
002113.SZ,002113.SZ,3.592664149586893e+23,0.06,398.19742955964585,398.19742955964585,398.19742955964585,398.19742955964585,398.19742955964585,1208.824186717583,-0.9004507624167026,-13.331447276228616,20190401,5870213922.0,3.83,61201588175900.8,575,002113,ST天润,湖南,互联网,中小板,20070208,5.0
000007.SZ,000007.SZ,6.5419052183422205e+22,0.06,388.08554949223,388.08554949223,388.08554949223,388.08554949223,388.08554949223,1160.085654372907,-0.9902528472052246,5.161246950988397,20190401,2608753771.0,7.53,25076744655108.96,5,000007,全新好,深圳,酒店餐饮,主板,19920413,5.0
601106.SH,601106.SH,3.910618705785959e+23,0.06,238.48554151801457,238.48554151801457,238.48554151801457,238.48554151801457,238.48554151801457,714.2783895496402,-1.0130487351042263,2.1912837395076794,20190401,28185487830.0,4.11,13874582300552.92,2984,601106,中国一重,黑龙江,工程机械,主板,20100209,5.0
600890.SH,600890.SH,5.411969469409121e+22,0.06,264.94861333777845,264.94861333777845,264.94861333777845,264.94861333777845,264.94861333777845,800.5006611111135,-1.1915762283638571,-4.463244869414248,20190401,4442425075.0,7.67,12182466508810.34,2897,600890,中房股份,北京,区域地产,主板,19960318,5.0
000859.SZ,000859.SZ,1.9525207025765555e+21,0.06,111.46666739999394,111.46666739999394,111.46666739999394,111.46666739999394,111.46666739999394,329.50074586759484,3.768442754359016,1.1308135780278974,20190401,5094808640.0,6.89,383237299089.5023,355,000859,国风塑业,安徽,塑料,主板,19981119,5.0
600586.SH,600586.SH,1.2343636602044948e+21,0.06,91.3861654954991,91.3861654954991,91.3861654954991,91.3861654954991,91.3861654954991,269.7207402394403,4.916916749637052,-0.4791605025800583,20190401,5454049854.0,3.74,226320567879.2537,2621,600586,金晶科技,山东,玻璃,主板,20020815,5.0
600898.SH,600898.SH,3.529652115217755e+20,0.06,228.764849173312,228.764849173312,228.764849173312,228.764849173312,228.764849173312,687.548616024489,-0.9900629919045908,-0.2640055126485499,20190401,2593419631.0,10.27,136100308372.80344,2905,600898,国美通讯,山东,通信设备,主板,19960418,5.0
002006.SZ,002006.SZ,2.8714084569619913e+20,0.06,69.82300312306113,69.82300312306113,69.82300312306113,69.82300312306113,69.82300312306113,205.7288282260175,0.6378504591900074,3.102330683975852,20190401,2803785600.0,6.16,102411841224.0206,468,002006,精功科技,浙江,专用机械,中小板,20040625,5.0
600091.SH,600091.SH,1.8646504561488865e+20,0.06,108.09930324509712,108.09930324509712,108.09930324509712,108.09930324509712,108.09930324509712,325.4824321971656,-0.6282985184561409,-0.5562239434180833,20190401,1911492729.9999998,4.37,97549440124.19926,2214,600091,ST明科,内蒙,化工原料,主板,19970704,5.0
002199.SZ,002199.SZ,2.7497520030423083e+20,0.06,-145.4328497384821,-145.4328497384821,-145.4328497384821,-145.4328497384821,-145.4328497384821,-434.47531992007686,-0.7985840256472212,-1.0246452697223192,20190401,3408193082.0000005,14.0,80680640352.52994,661,002199,东晶电子,浙江,元器件,中小板,20071221,5.0
600199.SH,600199.SH,2.845775152904585e+20,0.06,109.16618010471657,109.16618010471657,109.16618010471657,109.16618010471657,109.16618010471657,328.64118687605986,-0.4776237338946378,-0.6650228280156707,20190401,4540681766.0,8.17,62672860586.001656,2309,600199,金种子酒,安徽,白酒,主板,19980812,5.0
601858.SH,601858.SH,4.767057421037387e+20,0.06,66.77309012544015,66.77309012544015,66.77309012544015,66.77309012544015,66.77309012544015,199.9431354671274,0.2635599235103152,0.1125749856826892,20190401,9470190000.0,11.98,50337505593.26354,3099,601858,中国科传,北京,出版业,主板,20170118,5.0
600587.SH,600587.SH,2.886884893756756e+20,0.06,68.08306320675099,68.08306320675099,68.08306320675099,68.08306320675099,68.08306320675099,204.6815372951489,0.23477397716264314,-0.6671216520585408,20190401,6324021096.0,15.56,45649513970.14625,2622,600587,新华医疗,山东,医疗保健,主板,20020927,5.0
000403.SZ,000403.SZ,2.7890301815741556e+20,0.06,87.61773259711553,87.61773259711553,87.61773259711553,87.61773259711553,87.61773259711553,263.84614942366983,-0.6560369374495723,-0.3369146948736462,20190401,7932008131.0,29.1,35161716118.20093,76,000403,振兴生化,山西,生物制药,主板,19960628,5.0
